feature_set;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;average_precision_score_weighted;precision_micro;recall_micro;fmeasure_micro;average_precision_score_micro;precision_macro;recall_macro;fmeasure_macro;average_precision_score_macro;roc_auc_score_weighted;roc_auc_score_micro;roc_auc_score_macro;matthews_corrcoef;balanced_accuracy;roc_auc_score_prob_weighted;roc_auc_score_prob_micro;roc_auc_score_prob_macro
Training\_\_MAE;0.8425432046084915;0.8261033572236892;0.8877178759627078;0.8558030480656507;0.8440289275548588;0.8425432046084915;0.8419699406996295;0.7924463548949202;0.8425432046084915;0.8425432046084915;0.8425432046084915;0.7924463548949202;0.8450261383367955;0.8400301091525251;0.8412003962132765;0.7924463548949202;0.8400301091525251;0.8400301091525251;0.8400301091525251;0.6850380295403599;0.8400301091525251;0.8902779755840153;0.8902779755840153;0.8902779755840153
Training\_\_MSE;0.8034990398975891;0.8491418247515808;0.7620591811917309;0.8032471694082461;0.8081685201111192;0.8034990398975891;0.803485461539651;0.7723363492885729;0.8034990398975891;0.8034990398975891;0.8034990398975891;0.7723363492885729;0.8058891493349494;0.8058043653706402;0.8034987178811953;0.7723363492885729;0.8058043653706402;0.8058043653706402;0.8058043653706402;0.6116935088298361;0.8058043653706402;0.8728417817898969;0.8728417817898969;0.8728417817898969
HyperParameters\_\_small;0.856624707;0.847464189;0.887312525;0.866930693;0.857129754;0.856624707;0.856348228;0.811278583;0.856624707;0.856624707;0.856624707;0.811278583;0.857667456;0.854917524;0.855759519;0.811278583;0.854917524;0.854917524;0.854917524;0.712579673;0.854917524;0.898942163;0.898942163;0.898942163
HyperParameters\_\_shallow-GCN;0.83571581;0.861833689;0.81921362;0.839983375;0.837076348;0.83571581;0.835829936;0.801182712;0.83571581;0.83571581;0.83571581;0.801182712;0.835699082;0.836633837;0.835598877;0.801182712;0.836633837;0.836633837;0.836633837;0.672332269;0.836633837;0.900901357;0.900901357;0.900901357
HyperParameters\_\_large;0.855771282;0.852143138;0.878394812;0.86506986;0.855899892;0.855771282;0.855609346;0.812524939;0.855771282;0.855771282;0.855771282;0.812524939;0.856108882;0.854512721;0.855083051;0.812524939;0.854512721;0.854512721;0.854512721;0.710619811;0.854512721;0.882363231;0.882363231;0.882363231
HyperParameters\_\_2layers;0.845103478;0.852857722;0.852857722;0.852857722;0.845103478;0.845103478;0.845103478;0.804814555;0.845103478;0.845103478;0.845103478;0.804814555;0.844672104;0.844672104;0.844672104;0.804814555;0.844672104;0.844672104;0.844672104;0.689344208;0.844672104;0.889260126;0.889260126;0.889260126
HyperParameters\_\_all-layers-size32;0.830381907;0.859106529;0.810701257;0.834202294;0.832074456;0.830381907;0.830497879;0.796116037;0.830381907;0.830381907;0.830381907;0.796116037;0.830570645;0.831476754;0.8302918;0.796116037;0.831476754;0.831476754;0.831476754;0.662046779;0.831476754;0.894179384;0.894179384;0.894179384
HyperParameters\_\_all-layers-size70;0.8493706;0.867948182;0.841913255;0.85473251;0.849969876;0.8493706;0.8494585;0.813945955;0.8493706;0.8493706;0.8493706;0.813945955;0.848969732;0.849785456;0.849165103;0.813945955;0.849785456;0.849785456;0.849785456;0.698754712;0.849785456;0.900961064;0.900961064;0.900961064
HyperParameters\_\_all-layers-size100;0.866439087;0.85942991;0.892176733;0.875497216;0.866748994;0.866439087;0.866243168;0.82351609;0.866439087;0.866439087;0.866439087;0.82351609;0.867156159;0.865007285;0.865728359;0.82351609;0.865007285;0.865007285;0.865007285;0.732160291;0.865007285;0.899889715;0.899889715;0.899889715
HyperParameters\_\_dense-layers-size32;0.855771282;0.850215096;0.881232266;0.86544586;0.856006051;0.855771282;0.855571119;0.81175031;0.855771282;0.855771282;0.855771282;0.81175031;0.856328205;0.854354872;0.855021781;0.81175031;0.854354872;0.854354872;0.854354872;0.710680337;0.854354872;0.901687226;0.901687226;0.901687226
HyperParameters\_\_dense-layers-size100;0.857904843;0.839427064;0.902715849;0.869921875;0.859594552;0.857904843;0.857379416;0.808969577;0.857904843;0.857904843;0.857904843;0.808969577;0.860716482;0.855411979;0.856681671;0.808969577;0.855411979;0.855411979;0.855411979;0.716108814;0.855411979;0.900305382;0.900305382;0.900305382
HyperParameters\_\_tree-layers-size32;0.843823341;0.844930417;0.861370085;0.853071056;0.843798875;0.843823341;0.843722273;0.800765569;0.843823341;0.843823341;0.843823341;0.800765569;0.843735927;0.842847205;0.843202195;0.800765569;0.842847205;0.842847205;0.842847205;0.686582557;0.842847205;0.894779102;0.894779102;0.894779102
HyperParameters\_\_tree-layers-size70;0.842969917;0.871938118;0.822456425;0.84647476;0.844688369;0.842969917;0.843077052;0.810581075;0.842969917;0.842969917;0.842969917;0.810581075;0.843172449;0.844111095;0.842888035;0.810581075;0.844111095;0.844111095;0.844111095;0.687282903;0.844111095;0.895463177;0.895463177;0.895463177
HyperParameters\_\_user-layers-size70;0.840409644;0.870633894;0.818402919;0.843710823;0.842298659;0.840409644;0.840516133;0.808112849;0.840409644;0.840409644;0.840409644;0.808112849;0.840722352;0.841633892;0.840338411;0.808112849;0.841633892;0.841633892;0.841633892;0.682355635;0.841633892;0.893336821;0.893336821;0.893336821
HyperParameters\_\_user-layers-size100;0.857264775;0.862207897;0.867450345;0.864821176;0.857231148;0.857264775;0.85723916;0.817689979;0.857264775;0.857264775;0.857264775;0.817689979;0.856954289;0.856698145;0.856817368;0.817689979;0.856698145;0.856698145;0.856698145;0.713652388;0.856698145;0.901458167;0.901458167;0.901458167
