,Q1##matthews_corrcoef,Q1##precision,Q1##precision_weighted,Q1##recall,Q1##recall_weighted,Q2##matthews_corrcoef,Q2##precision,Q2##precision_weighted,Q2##recall,Q2##recall_weighted,Q3##matthews_corrcoef,Q3##precision,Q3##precision_weighted,Q3##recall,Q3##recall_weighted,Q4##matthews_corrcoef,Q4##precision,Q4##precision_weighted,Q4##recall,Q4##recall_weighted,Q5##matthews_corrcoef,Q5##precision,Q5##precision_weighted,Q5##recall,Q5##recall_weighted,Q6##matthews_corrcoef,Q6##precision,Q6##precision_weighted,Q6##recall,Q6##recall_weighted,Q7##matthews_corrcoef,Q7##precision,Q7##precision_weighted,Q7##recall,Q7##recall_weighted,Q8##matthews_corrcoef,Q8##precision,Q8##precision_weighted,Q8##recall,Q8##recall_weighted,Q9##matthews_corrcoef,Q9##precision,Q9##precision_weighted,Q9##recall,Q9##recall_weighted,Q10##matthews_corrcoef,Q10##precision,Q10##precision_weighted,Q10##recall,Q10##recall_weighted
node2vec,-0.013179029,0,0.984895783,0,0.970021413,0.067255607,0.028639618,0.977389667,0.444444444,0.787833082,0.024074727,0.03030303,0.975754867,0.054054054,0.966303608,0.005574263,0.011940299,0.978634276,0.292682927,0.726225556,0.032124057,0.047619048,0.971452179,0.044776119,0.972290503,-0.015157072,0,0.97180069,0,0.970088769,-0.007517974,0.079717813,0.847517174,0.43047619,0.545625,-0.05019154,0.115782665,0.749045602,0.346563408,0.549491212,0.101825523,0.306174957,0.709681655,0.207076566,0.743062935,0.226760187,0.635174419,0.722343147,0.168012303,0.746430071
all features,0.029704871,0.01754386,0.985846608,0.142857143,0.933618844,0.044526929,0.028571429,0.975169043,0.222222222,0.886877828,0.018558143,0.018461538,0.975924545,0.162162162,0.880871341,0.026161694,0.017892644,0.979415084,0.219512195,0.859094562,0.013919821,0.017433752,0.971684489,0.373134328,0.67575419,0.021056838,0.017438692,0.974081227,0.438356164,0.644152837,0.179861451,0.149154052,0.888217028,0.638095238,0.67171875,0.239676243,0.25433293,0.829955764,0.610842207,0.702391965,0.343727394,0.409730141,0.791712278,0.625290023,0.740347148,0.453938224,0.589641434,0.783351323,0.62591311,0.778874423
content-Word2vec,-0.010719617,0,0.984953682,0,0.97751606,0.018008073,0.025641026,0.967954141,0.095238095,0.924603175,-0.021493773,0,0.9794938,0,0.946511628,-0.010127505,0,0.993270128,0,0.966804979,0.029023726,0.028888889,0.958268,0.448275862,0.63990461,-0.014663633,0.004716981,0.984294545,0.1,0.832317073,0.110649804,0.304849885,0.700419055,0.286334056,0.706976744,0.070671198,0.32218845,0.66115797,0.166144201,0.713581184,0.180215353,0.564864865,0.643667179,0.220231823,0.669357798,0.199569828,0.622704508,0.619245325,0.312919463,0.617915905
content-GloVe,0.033784817,0.014492754,0.986379641,0.285714286,0.849036403,0.084629705,0.035714286,0.97359944,0.523809524,0.756349206,0.106435148,0.028938907,0.986169486,0.692307692,0.762790698,0.002177528,0.003546099,0.993452788,0.25,0.764315353,0.093095105,0.047021944,0.963465729,0.517241379,0.747217806,0.028352016,0.01179941,0.986348489,0.4,0.740091463,0.042395762,0.241324921,0.67772234,0.331887202,0.633023256,0.041332981,0.272058824,0.648272586,0.289968652,0.640364188,0.136514316,0.470784641,0.611222669,0.2971549,0.638899083,0.126313742,0.547112462,0.576623977,0.302013423,0.586837294
content-BERT,0.110479135,0.351351351,0.81963428,0.069518717,0.871512005,0.115799146,0.287037037,0.802971328,0.127572016,0.845702082,0.031608441,0.157894737,0.805099517,0.068807339,0.85206482,0.039384054,0.173076923,0.824937963,0.047120419,0.879162191,0.140944432,0.258215962,0.740244257,0.552763819,0.60982659,0.060508428,0.192634561,0.763536338,0.242857143,0.737730871,0.133440283,0.383018868,0.664124107,0.28511236,0.689910979,0.099843582,0.404605263,0.652411632,0.147305389,0.710816062,0.18235639,0.623376623,0.653173677,0.171428571,0.665277332,0.171207159,0.644186047,0.619190606,0.208427389,0.60620915
content-SentenceTransformers,0.159549433,0.28,0.821036299,0.22459893,0.835820896,0.178939845,0.29004329,0.814611188,0.275720165,0.818473038,0.034541024,0.151315789,0.805172603,0.105504587,0.830632514,0.067131362,0.176923077,0.828522646,0.120418848,0.852309345,0.151270413,0.266009852,0.742900367,0.542713568,0.625240848,0.130492806,0.232718894,0.782212872,0.360714286,0.729815303,0.17133222,0.387009472,0.677920394,0.401685393,0.673961424,0.122815798,0.408653846,0.658518629,0.203592814,0.704987047,0.225081828,0.617710583,0.66147413,0.255357143,0.675857647,0.258805365,0.705357143,0.660692171,0.297215952,0.640849673
\citet{sharma2021identifying},-0.021313714,0,0.984619386,0,0.935760171,0.008915098,0.020618557,0.967612201,0.095238095,0.90952381,-0.038119206,0.005576208,0.976814812,0.230769231,0.57751938,-0.00968393,0,0.993278858,0,0.969294606,-0.117403046,0.003539823,0.938966246,0.068965517,0.53100159,-0.041072841,0.003527337,0.981748525,0.2,0.563262195,0.005860552,0.2176781,0.665206712,0.35791757,0.586511628,0.096666393,0.30199765,0.669275658,0.402821317,0.630121396,0.185382127,0.464071856,0.630281176,0.489989463,0.625321101,0.090630427,0.508609272,0.555610079,0.322147651,0.568921389
\citet{sansonetti2020unreliable},0,0.007494647,5.62E+09,1,0.007494647,0,0.013574661,0.000184271,1,0.013574661,0,0.012593601,0.000158599,1,0.012593601,0,0.010983123,0.000120629,1,0.010983123,0.030901915,0.016414465,0.980143338,0.955223881,0.142346369,-0.002687645,0.01399624,0.971134053,0.917808219,0.087996912,-0.0786433,0.073076923,0.800916466,0.76,0.18953125,-0.105338859,0.126598465,0.648982166,0.862536302,0.168891238,-0.10942459,0.195787167,0.475405473,0.932714617,0.206399811,-0.181133045,0.250141868,0.390474282,0.847366398,0.264594708
\textit{FacTweet} \citep{ghanem2020factweet},0,0,0.772026222,0,0.878650227,0,0,0.763947407,0,0.874032714,0.042069013,0.171641791,0.80706408,0.024058577,0.883874058,0.148112529,0.133230054,0.839515951,0.307142857,0.838474097,0.014508237,0.199453552,0.694969901,0.366834171,0.596339114,0.166777916,0.47387218,0.857165238,0.455699609,0.694511262,0.075444122,0.381909548,0.649326259,0.106741573,0.71847181,0.23057554,0.679191961,0.825505042,0.459795337,0.696399347,0.307972317,0.569252482,0.746535921,0.47434957,0.701485334,0.345090402,0.831243358,0.81034524,0.454068327,0.700278054
\citet{shrestha2021characterizing},0.042932888,0.025,0.98603161,0.142857143,0.951820128,-0.007576071,0.009803922,0.972966978,0.037037037,0.936148819,0.030516251,0.025252525,0.976192666,0.135135135,0.923417291,0.00931732,0.015075377,0.978547861,0.073170732,0.937315832,0.041856273,0.026647966,0.972858769,0.28358209,0.834189944,0.026944978,0.020725389,0.973813613,0.273972603,0.807410266,0.112009385,0.140681653,0.868993675,0.36952381,0.763125,0.15543031,0.248221906,0.801506861,0.33785092,0.76992203,0.225200374,0.399731724,0.749061536,0.345707657,0.761128823,0.264181403,0.532228361,0.712600686,0.333333333,0.737925241
\textit{CheckerOrSpreader} \citep{giachanou2022impact},-0.002101739,0.011961722,0.786302885,0.13368984,0.775470474,0.093021683,0.023030303,0.795688982,0.156378601,0.822744261,0.091505038,0.021153846,0.81685497,0.151376147,0.838996341,0.064703915,0.017142857,0.827974678,0.12565445,0.848012889,0.125790229,0.139712919,0.73184421,0.17839196,0.776011561,0.079040995,0.195121951,0.769303888,0.342857143,0.693931398,0.002777317,0.324116743,0.564045281,0.564171123,0.479274611,-0.009425194,0.331597222,0.54878692,0.383534137,0.531482735,0.064960565,0.516564417,0.532956099,0.546044099,0.532075472,0.131311758,0.561128527,0.58260375,0.26937547,0.591176471
\citet{hamdi2020hybrid},-0.022564781,0,0.98456531,0,0.929336188,0.028876602,0.023148148,0.974499659,0.185185185,0.882855706,-0.014476499,0.008287293,0.974478228,0.081081081,0.866235534,-0.038966782,0.001675042,0.976420263,0.024390244,0.829627645,-0.027151234,0,0.969564748,0,0.93877095,-0.006475882,0.010869565,0.971998654,0.04109589,0.93380934,-0.055052487,0.036392405,0.8410615,0.043809524,0.82640625,0.169969511,0.221670802,0.810400523,0.518877057,0.685608563,-0.031839958,0.172985782,0.665240564,0.127030162,0.698665722,0.237594474,0.629533679,0.723163744,0.186851211,0.747900042
\citet{kumar2023autoencoder},-0.035670135,0.05,0.776423051,0.010695187,0.855288774,0.058884106,0.196078431,0.787929742,0.12345679,0.820608649,0.049763403,0.179245283,0.80889165,0.087155963,0.850496602,-0.00452702,0.095238095,0.814905126,0.031413613,0.870032223,0.098019656,0.232088799,0.727626198,0.577889447,0.552504817,0.054742511,0.188571429,0.762060268,0.235714286,0.737203166,0.077472893,0.340807175,0.642751911,0.213483146,0.683234421,0.053067777,0.340836013,0.630231589,0.126946108,0.69753886,0.1002734,0.51048951,0.603873597,0.130357143,0.642834242,0.137442067,0.581481481,0.590385802,0.236267871,0.594444444
\citet{lampridis2022manifesto},0.071310249,0.28125,0.809135225,0.048128342,0.869565217,0.177478243,0.331125828,0.815683311,0.205761317,0.843032568,0.035641408,0.15625,0.805564921,0.091743119,0.840041819,0.072987195,0.185483871,0.829701305,0.120418848,0.855531686,0.238329803,0.285714286,0.783786709,0.743718593,0.594412331,0.149691183,0.221705426,0.791595525,0.510714286,0.662796834,0.267744698,0.415279138,0.719046437,0.595505618,0.671735905,0.275773294,0.456989247,0.714552106,0.508982036,0.70369171,0.469905643,0.711135612,0.758644128,0.575892857,0.763706316,0.576777678,0.83773216,0.798447814,0.644845749,0.791503268
\citet{agarwal2022profiling},0.050932479,0.016393443,0.987341903,0.428571429,0.802997859,0.077453518,0.034965035,0.972810677,0.476190476,0.772222222,0.068094909,0.021943574,0.984026692,0.538461538,0.753488372,0.030635877,0.00625,0.99444886,0.5,0.734439834,0.003623709,0.023715415,0.955408984,0.413793103,0.593799682,0.074628456,0.017369727,0.989235265,0.7,0.695884146,0.225134092,0.318855932,0.749726969,0.652928416,0.626511628,0.252516721,0.378060725,0.731198981,0.605015674,0.663505311,0.459724547,0.638663968,0.754844847,0.664910432,0.752293578,0.50414454,0.738073807,0.756613589,0.687919463,0.757586837
\citet{tommasel2022following},0.134923278,0.053571429,0.958385188,0.328571429,0.938972163,0.039146914,0.034883721,0.974458407,0.111111111,0.946204123,0.018545616,0.019230769,0.975849851,0.135135135,0.9023145,-0.014387419,0.006864989,0.977689775,0.073170732,0.873560139,-0.000822227,0.014760148,0.970454675,0.179104478,0.808715084,0.010370525,0.016887817,0.972787743,0.191780822,0.831339251,0.25897778,0.175641026,0.906601326,0.582857143,0.68078125,0.354974575,0.325959368,0.857807724,0.69893514,0.761596405,0.476955378,0.511824324,0.833786778,0.703016241,0.803046405,0.631038918,0.720430108,0.853589462,0.747020377,0.851742965
